UF_XML_ID;UF_COLOR;UF_PRICE;UF_COLLECTIONS;UF_MODEL_RANGE;UF_SORT;UF_ACTIVE
molding_amfora_chrome;Матовый хром;0;Амфора;;10;1
molding_amfora_black;Чёрный;0;Амфора;;20;1
molding_amfora_gold;Матовое золото;470;Амфора;;30;1
molding_amfora_champagne;Шампань;0;Амфора;;40;1
molding_kvant_chrome;Матовый хром;0;Квант;;50;1
molding_kvant_black;Чёрный;0;Квант;;60;1
molding_kvant_gold;Матовое золото;0;Квант;;70;1
molding_mono_1_8_chrome;Матовый хром;0;Моно;1-8;80;1
molding_mono_1_8_black;Чёрный;0;Моно;1-8;90;1
molding_mono_1_8_gold;Матовое золото;470;Моно;1-8;100;1
molding_mono_1_8_champagne;Шампань;0;Моно;1-8;110;1
molding_mono_9_12_chrome;Матовый хром;0;Моно;9-12;120;1
molding_mono_9_12_black;Чёрный;470;Моно;9-12;130;1
molding_mono_9_12_gold;Матовое золото;0;Моно;9-12;140;1
